concept_id,category,data_value,gest_value
4337360,GEST,N/A,1
4220085,GEST,N/A,2
4326232,GEST,N/A,3
4195157,GEST,N/A,4
4290009,GEST,N/A,5
4313026,GEST,N/A,6
4270513,GEST,N/A,7
4132434,GEST,N/A,8
4322726,GEST,N/A,8
4245908,GEST,N/A,9
4242241,GEST,N/A,10
4174506,GEST,N/A,11
4015296,GEST,N/A,12
4197245,GEST,N/A,12
4181468,GEST,N/A,13
4266517,GEST,N/A,13
4248725,GEST,N/A,14
4283690,GEST,N/A,15
4014149,GEST,N/A,16
4049621,GEST,N/A,16
4277749,GEST,N/A,17
4097608,GEST,N/A,18
4181751,GEST,N/A,19
4324063,GEST,N/A,19
4014150,GEST,N/A,20
4051642,GEST,N/A,20
4178165,GEST,N/A,20
4181162,GEST,N/A,21
4185780,GEST,N/A,21
4274955,GEST,N/A,22
44808979,GEST,N/A,22
438542,GEST,N/A,23
4336226,GEST,N/A,23
439922,GEST,N/A,24
4015141,GEST,N/A,24
435640,GEST,N/A,25
44808980,GEST,N/A,25
444023,GEST,N/A,26
432430,GEST,N/A,27
45770261,GEST,N/A,27
444461,GEST,N/A,28
444417,GEST,N/A,29
4014151,GEST,N/A,30
434484,GEST,N/A,30
433864,GEST,N/A,31
44808981,GEST,N/A,31
4015297,GEST,N/A,32
442558,GEST,N/A,32
441678,GEST,N/A,33
4015298,GEST,N/A,34
4038754,GEST,N/A,34
443874,GEST,N/A,34
444267,GEST,N/A,35
4014434,GEST,N/A,35
4180111,GEST,N/A,35
4015299,GEST,N/A,36
438543,GEST,N/A,36
4015142,GEST,N/A,37
442355,GEST,N/A,37
762907,GEST,N/A,37
4038934,GEST,N/A,38
4014152,GEST,N/A,38
443871,GEST,N/A,38
4015300,GEST,N/A,39
435655,GEST,N/A,39
4015301,GEST,N/A,40
4336958,GEST,N/A,40
4015302,GEST,N/A,41
442769,GEST,N/A,41
444067,GEST,N/A,42
4014435,GEST,N/A,42
45773507,POSTT,N/A,42
41050803,CONTRA,N/A,
41050804,CONTRA,N/A,
41050815,CONTRA,N/A,
41050990,CONTRA,N/A,
41053034,CONTRA,N/A,
41053037,CONTRA,N/A,
41053038,CONTRA,N/A,
41053039,CONTRA,N/A,
41053406,CONTRA,N/A,
41053411,CONTRA,N/A,
41053412,CONTRA,N/A,
41053413,CONTRA,N/A,
41053414,CONTRA,N/A,
41053415,CONTRA,N/A,
41053416,CONTRA,N/A,
41053513,CONTRA,N/A,
41053514,CONTRA,N/A,
41053585,CONTRA,N/A,
41054430,CONTRA,N/A,
41054431,CONTRA,N/A,
41054432,CONTRA,N/A,
41054433,CONTRA,N/A,
41054434,CONTRA,N/A,
41323257,CONTRA,N/A,
41323258,CONTRA,N/A,
41323259,CONTRA,N/A,
41323260,CONTRA,N/A,
41323261,CONTRA,N/A,
41323262,CONTRA,N/A,
41323263,CONTRA,N/A,
41323264,CONTRA,N/A,
41323265,CONTRA,N/A,
41323266,CONTRA,N/A,
41323267,CONTRA,N/A,
41323268,CONTRA,N/A,
41323269,CONTRA,N/A,
41323270,CONTRA,N/A,
41323271,CONTRA,N/A,
41323272,CONTRA,N/A,
41323273,CONTRA,N/A,
41323274,CONTRA,N/A,
41323280,CONTRA,N/A,
41323288,CONTRA,N/A,
41323289,CONTRA,N/A,
41323290,CONTRA,N/A,
41323291,CONTRA,N/A,
41323292,CONTRA,N/A,
41323485,CONTRA,N/A,
41323486,CONTRA,N/A,
41323487,CONTRA,N/A,
41323488,CONTRA,N/A,
41323489,CONTRA,N/A,
41323490,CONTRA,N/A,
41323491,CONTRA,N/A,
41323492,CONTRA,N/A,
41323494,CONTRA,N/A,
41323691,CONTRA,N/A,
41323692,CONTRA,N/A,
41323693,CONTRA,N/A,
41323694,CONTRA,N/A,
41323695,CONTRA,N/A,
41323696,CONTRA,N/A,
41323810,CONTRA,N/A,
41323811,CONTRA,N/A,
41323812,CONTRA,N/A,
41323813,CONTRA,N/A,
41323814,CONTRA,N/A,
41323815,CONTRA,N/A,
41323816,CONTRA,N/A,
41323817,CONTRA,N/A,
41323818,CONTRA,N/A,
41323819,CONTRA,N/A,
41323820,CONTRA,N/A,
41323821,CONTRA,N/A,
41323822,CONTRA,N/A,
41323823,CONTRA,N/A,
41323824,CONTRA,N/A,
41323825,CONTRA,N/A,
41323826,CONTRA,N/A,
41323827,CONTRA,N/A,
41323828,CONTRA,N/A,
41323829,CONTRA,N/A,
41323830,CONTRA,N/A,
41323831,CONTRA,N/A,
41323832,CONTRA,N/A,
41323833,CONTRA,N/A,
41323834,CONTRA,N/A,
41323835,CONTRA,N/A,
41323836,CONTRA,N/A,
41323837,CONTRA,N/A,
41323885,CONTRA,N/A,
41323886,CONTRA,N/A,
41323887,CONTRA,N/A,
41323888,CONTRA,N/A,
41323889,CONTRA,N/A,
41323890,CONTRA,N/A,
41324218,CONTRA,N/A,
41324219,CONTRA,N/A,
41324220,CONTRA,N/A,
41324221,CONTRA,N/A,
41324222,CONTRA,N/A,
41324223,CONTRA,N/A,
41324224,CONTRA,N/A,
41324225,CONTRA,N/A,
41327574,CONTRA,N/A,
41328447,CONTRA,N/A,
41328478,CONTRA,N/A,
41328550,CONTRA,N/A,
41328697,CONTRA,N/A,
41328721,CONTRA,N/A,
41328722,CONTRA,N/A,
41328723,CONTRA,N/A,
41329385,CONTRA,N/A,
41329386,CONTRA,N/A,
41330048,CONTRA,N/A,
41330210,CONTRA,N/A,
41330452,CONTRA,N/A,
41330684,CONTRA,N/A,
41330685,CONTRA,N/A,
41330686,CONTRA,N/A,
41330845,CONTRA,N/A,
41331104,CONTRA,N/A,
41331105,CONTRA,N/A,
43727485,CONTRA,N/A,
43727486,CONTRA,N/A,
43727487,CONTRA,N/A,
43727488,CONTRA,N/A,
43727490,CONTRA,N/A,
43727491,CONTRA,N/A,
43727495,CONTRA,N/A,
43727501,CONTRA,N/A,
43727502,CONTRA,N/A,
43727504,CONTRA,N/A,
43727507,CONTRA,N/A,
43727508,CONTRA,N/A,
43727509,CONTRA,N/A,
43727510,CONTRA,N/A,
43727511,CONTRA,N/A,
43727512,CONTRA,N/A,
43727513,CONTRA,N/A,
43727515,CONTRA,N/A,
43727516,CONTRA,N/A,
43727517,CONTRA,N/A,
43727518,CONTRA,N/A,
43727519,CONTRA,N/A,
43727520,CONTRA,N/A,
43727521,CONTRA,N/A,
43727522,CONTRA,N/A,
43727523,CONTRA,N/A,
43727524,CONTRA,N/A,
43727525,CONTRA,N/A,
43727526,CONTRA,N/A,
43727528,CONTRA,N/A,
43727529,CONTRA,N/A,
43727530,CONTRA,N/A,
43727531,CONTRA,N/A,
43727532,CONTRA,N/A,
43727533,CONTRA,N/A,
43727534,CONTRA,N/A,
43727622,CONTRA,N/A,
43727623,CONTRA,N/A,
43727863,CONTRA,N/A,
43727864,CONTRA,N/A,
43727865,CONTRA,N/A,
43728280,CONTRA,N/A,
43728281,CONTRA,N/A,
43728283,CONTRA,N/A,
43730240,CONTRA,N/A,
43730241,CONTRA,N/A,
43730242,CONTRA,N/A,
43730243,CONTRA,N/A,
43730244,CONTRA,N/A,
43730245,CONTRA,N/A,
43730700,CONTRA,N/A,
43736811,CONTRA,N/A,
43744404,CONTRA,N/A,
43744405,CONTRA,N/A,
43744406,CONTRA,N/A,
43744407,CONTRA,N/A,
43744408,CONTRA,N/A,
43744409,CONTRA,N/A,
43744410,CONTRA,N/A,
43745439,CONTRA,N/A,
43745440,CONTRA,N/A,
43745441,CONTRA,N/A,
43745443,CONTRA,N/A,
43745445,CONTRA,N/A,
43745448,CONTRA,N/A,
43745449,CONTRA,N/A,
43745450,CONTRA,N/A,
43745451,CONTRA,N/A,
43745452,CONTRA,N/A,
43745453,CONTRA,N/A,
43745454,CONTRA,N/A,
43745456,CONTRA,N/A,
43745458,CONTRA,N/A,
43745459,CONTRA,N/A,
43745460,CONTRA,N/A,
43745461,CONTRA,N/A,
43745462,CONTRA,N/A,
35783111,MTX,N/A,
35783175,MTX,N/A,
35783176,MTX,N/A,
35783177,MTX,N/A,
35783314,MTX,N/A,
35783603,MTX,N/A,
35783721,MTX,N/A,
35783722,MTX,N/A,
35783726,MTX,N/A,
35783727,MTX,N/A,
35783742,MTX,N/A,
35783743,MTX,N/A,
35783750,MTX,N/A,
35783764,MTX,N/A,
35783771,MTX,N/A,
43190422,MTX,N/A,
43196415,MTX,N/A,
43196416,MTX,N/A,
43196561,MTX,N/A,
43196562,MTX,N/A,
43196563,MTX,N/A,
43196564,MTX,N/A,
43197335,MTX,N/A,
43197691,MTX,N/A,
43197988,MTX,N/A,
43201474,MTX,N/A,
43201475,MTX,N/A,
43201476,MTX,N/A,
43201477,MTX,N/A,
43201478,MTX,N/A,
43201479,MTX,N/A,
43201480,MTX,N/A,
43207334,MTX,N/A,
43207473,MTX,N/A,
43207474,MTX,N/A,
43208551,MTX,N/A,
43208792,MTX,N/A,
43208863,MTX,N/A,
43212269,MTX,N/A,
43212270,MTX,N/A,
43212271,MTX,N/A,
43212272,MTX,N/A,
43212273,MTX,N/A,
43212274,MTX,N/A,
43212275,MTX,N/A,
43212276,MTX,N/A,
43212277,MTX,N/A,
43218334,MTX,N/A,
43218477,MTX,N/A,
43218478,MTX,N/A,
43218479,MTX,N/A,
43218480,MTX,N/A,
43218953,MTX,N/A,
43218954,MTX,N/A,
43219238,MTX,N/A,
43219782,MTX,N/A,
43219845,MTX,N/A,
43219846,MTX,N/A,
43219851,MTX,N/A,
43219860,MTX,N/A,
43256468,MTX,N/A,
43256469,MTX,N/A,
43256470,MTX,N/A,
43256471,MTX,N/A,
43256472,MTX,N/A,
43256473,MTX,N/A,
43256474,MTX,N/A,
43259125,MTX,N/A,
43259126,MTX,N/A,
43259276,MTX,N/A,
43259348,MTX,N/A,
43259356,MTX,N/A,
43259357,MTX,N/A,
43259376,MTX,N/A,
43259377,MTX,N/A,
43261780,MTX,N/A,
43261781,MTX,N/A,
43261782,MTX,N/A,
43261783,MTX,N/A,
43261784,MTX,N/A,
43264222,MTX,N/A,
43264411,MTX,N/A,
43264412,MTX,N/A,
43264757,MTX,N/A,
43264774,MTX,N/A,
43264775,MTX,N/A,
43264779,MTX,N/A,
43264780,MTX,N/A,
43264781,MTX,N/A,
43264782,MTX,N/A,
43264805,MTX,N/A,
43264806,MTX,N/A,
43265256,MTX,N/A,
41147634,MTX,N/A,
41147635,MTX,N/A,
41155895,MTX,N/A,
41155896,MTX,N/A,
41155897,MTX,N/A,
41155898,MTX,N/A,
41155899,MTX,N/A,
43521205,OVULDR,N/A,
43521206,OVULDR,N/A,
43521207,OVULDR,N/A,
43521208,OVULDR,N/A,
43521209,OVULDR,N/A,
43521210,OVULDR,N/A,
43521211,OVULDR,N/A,
43521212,OVULDR,N/A,
43521213,OVULDR,N/A,
43521214,OVULDR,N/A,
43521215,OVULDR,N/A,
43521216,OVULDR,N/A,
43521217,OVULDR,N/A,
43521218,OVULDR,N/A,
43521219,OVULDR,N/A,
4060265,ULS,N/A,
4120986,PCOMP,N/A,
4049041,POST,N/A,
43530880,PCOMP,N/A,
4060105,AGP,N/A,
4075168,DELIV,N/A,
4059989,AGP,N/A,
4061530,AMNIO,N/A,
4064854,PCOMP,N/A,
4195345,AFP,N/A,
4066258,POST,N/A,
4059984,PCONF,N/A,
4071603,SB,N/A,
2110312,AGP,N/A,
2110313,AGP,N/A,
136530,PREM,N/A,
2721241,OVUL,N/A,
2721244,OVUL,N/A,
2721245,OVUL,N/A,
2721246,OVUL,N/A,
2721247,OVUL,N/A,
2721248,OVUL,N/A,
2721254,OVUL,N/A,
2721255,OVUL,N/A,
2788842,OVUL,N/A,
3004501,DIAB,N/A,
443800,AMEN,N/A,
2212173,UP,N/A,
2212631,HCG,N/A,
4076939,AGP,N/A,
4014295,LB,N/A,
437041,PCOMP,N/A,
2212094,OTEST,N/A,
2211749,ULS,N/A,
433260,DELIV,N/A,
4299535,PCONF,N/A,
2211757,ULS,N/A,
2101813,LDEL,N/A,
441641,DELIV,N/A,
2212198,AFP,N/A,
2110307,POST,N/A,
2212632,HCG,N/A,
2211747,ULS,N/A,
2211751,ULS,N/A,
4133029,PCONF,N/A,
78494,DELIV,N/A,
4075188,DELIV,N/A,
4014456,LB,N/A,
4029786,LB,N/A,
4032767,DELIV,N/A,
4211824,DELIV,N/A,
4227423,ECT,N/A,
4242724,SB,N/A,
4075165,DELIV,N/A,
4278225,DELIV,N/A,
4306288,SB,N/A,
42535052,DELIV,N/A,
4217642,DELIV,N/A,
42538805,SB,N/A,
44513747,DELIV,N/A,
44783183,ECT,N/A,
4336090,LB,N/A,
42537768,ECT,N/A,
42872805,DELIV,N/A,
45757166,LB,N/A,
4015163,SB,N/A,
3662128,DELIV,N/A,
4097427,LB,N/A,
44181244,CONTRA,N/A,
44181245,CONTRA,N/A,
44181254,CONTRA,N/A,
44181329,CONTRA,N/A,
44182379,CONTRA,N/A,
44182380,CONTRA,N/A,
44182381,CONTRA,N/A,
44182629,CONTRA,N/A,
41356225,CONTRA,N/A,
41356226,CONTRA,N/A,
41356433,CONTRA,N/A,
41356757,CONTRA,N/A,
41357125,CONTRA,N/A,
41357126,CONTRA,N/A,
41357679,CONTRA,N/A,
41357680,CONTRA,N/A,
41357886,CONTRA,N/A,
41358775,CONTRA,N/A,
41360047,CONTRA,N/A,
41382522,CONTRA,N/A,
41382523,CONTRA,N/A,
41382541,CONTRA,N/A,
41382542,CONTRA,N/A,
41382576,CONTRA,N/A,
41382584,CONTRA,N/A,
41382585,CONTRA,N/A,
41382603,CONTRA,N/A,
41382651,CONTRA,N/A,
41382652,CONTRA,N/A,
41382679,CONTRA,N/A,
43745767,CONTRA,N/A,
43745768,CONTRA,N/A,
43745770,CONTRA,N/A,
43745772,CONTRA,N/A,
43745773,CONTRA,N/A,
43746236,CONTRA,N/A,
43746237,CONTRA,N/A,
43746238,CONTRA,N/A,
43748162,CONTRA,N/A,
43748164,CONTRA,N/A,
43748165,CONTRA,N/A,
43748166,CONTRA,N/A,
43748167,CONTRA,N/A,
43748168,CONTRA,N/A,
43748590,CONTRA,N/A,
43748591,CONTRA,N/A,
43748592,CONTRA,N/A,
43748593,CONTRA,N/A,
43748595,CONTRA,N/A,
43751291,CONTRA,N/A,
43751307,CONTRA,N/A,
43754737,CONTRA,N/A,
43762270,CONTRA,N/A,
43762271,CONTRA,N/A,
43763363,CONTRA,N/A,
43763364,CONTRA,N/A,
43763365,CONTRA,N/A,
43763366,CONTRA,N/A,
43763367,CONTRA,N/A,
43763368,CONTRA,N/A,
43763370,CONTRA,N/A,
43763371,CONTRA,N/A,
43763372,CONTRA,N/A,
43763373,CONTRA,N/A,
43763374,CONTRA,N/A,
